Title of the Book,Author,Book type,Original Price,Discounted price,ISBN-10,Published Date,Publisher,No. of Pages
The Red Tent,Anita Diamant,eBook,,,0330507079,,,
The Bones Beneath,Mark Billingham,eBook,,$11.99,1405527587,,"Little, Brown Book Group",400
Brain Freeze,Tom Fletcher,eBook,,$1.99,0241334225,,Penguin Random House Children's UK,112
Mere Christianity,C. S. Lewis,eBook,,$5.99,0061947431,,HarperCollins,256
book not found,,,,,,,,
A Mother's Courage,Dilly Court,eBook,,$21.99,1407004565,,Random House,544
One Cretan Evening and Other Stories,Victoria Hislop,eBook,,$3.99,0755389506,,Headline,72
book not found,,,,,,,,
Quite Ugly One Morning,Christopher Brookmyre,eBook,,$11.99,0748132031,,"Little, Brown Book Group",320
Immortal in Death,J.D. Robb,eBook,,$11.99,0748121773,,"Little, Brown Book Group",352
book not found,,,,,,,,
The Tea Planter's Wife,Dinah Jefferies,eBook,,$15.99,0241969565,,Penguin Books Ltd,386
The Legion (Eagles of the Empire 10),Simon Scarrow,eBook,,$12.99,0755357205,,Headline,448
Ayoade on Top,Richard Ayoade,eBook,$14.29,$12.99,0571339158,,Faber & Faber,256
Rivers of London,Ben Aaronovitch,eBook,,$11.99,0575097590,,Orion,384
Village Christmas,Laurie Lee,eBook,,$14.99,0241243688,,Penguin Books Ltd,200
book not found,,,,,,,,
Into the Fire,Gregg Hurwitz,eBook,,$15.99,1405928573,,Penguin Books Ltd,400
book not found,,,,,,,,
book not found,,,,,,,,
book not found,,,,,,,,
Rafa,Rafael Nadal,eBook,,$12.99,0748129456,,"Little, Brown Book Group",320
White Teeth,Zadie Smith,eBook,,$15.99,0141939230,,Penguin Books Ltd,560
You Are the Placebo,Dr. Joe Dispenza,eBook,$27.86,$22.99,1401944868,,Hay House,
An Almost Perfect Christmas,Nina Stibbe,eBook,,$15.99,0241981360,,Penguin Books Ltd,176
book not found,,,,,,,,
book not found,,,,,,,,
How Not to Be a Professional Racing Driver,Jason Plato,eBook,,$14.99,0241404177,,Penguin Books Ltd,304
1984,George Orwell,eBook,,$9.99,0547249640,,HarperCollins,
The Paleo Diet Revised,Loren Cordain,eBook,$29.69,$23.99,054418761X,,HarperCollins,288

book not found,,,,,,,,
Birds of Prey,Wilbur Smith,eBook,,,0330473328,,,784
Caves of Steel,Isaac Asimov,eBook,$13.19,$10.99,0307792412,,Random House Publishing Group,
Billy and Me,Giovanna Fletcher,eBook,,$15.99,140590996X,,Penguin Books Ltd,416
John,Michael Card,Paperback,,$37.07,0830844139,,INTER VARSITY PR,237
book not found,,,,,,,,
Thief Of Time,Terry Pratchett,eBook,,$15.99,1407035282,,Transworld,432
On Dublin Street,Samantha Young,eBook,,$15.99,1405912995,,Penguin Books Ltd,416
Hinds' Feet on High Places,Hannah Hurnard,Hardcover,$28.99,$26.25,084231394X,,TYNDALE PUB,320
Holy Bible,Tyndale House Publishers,Hardcover,,$13.99,0842384898,,Tyndale House Publishers,1024
book not found,,,,,,,,
Dominic,L.A. Casey,eBook,,$4.99,0992984912,,?L.A. Casey,
Before They Are Hanged : First Law,Joe Abercrombie,eBook,,$12.99,0575091517,,Orion,592
Be As You Are,David Godman,eBook,,$14.99,0141935383,,Penguin Books Ltd,272
Underland,Robert Macfarlane,eBook,,$16.99,0241146429,,Penguin Books Ltd,496
Goodnight Lady,Martina Cole,Paperback,$24.99,$26.99,075537407X,,Headline,832
